ID,NAME,MAC,PERSON_IN_CHARGE_ID
1,CanAirIO_06BE,D29TTGOTD906BE,1
2,CanAirIO_FAC6,D29TTGOTD8FAC6,1
3,CanAirIO_532E,D29TTGOT7D532E,1
4,CanAirIO_48C6,D29TTGOT7D48C6,1
